awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
"P.Cech,L. Koscielny,R.Holding,N. Monreal,A. Sanchez,A.Ramsey,M. Oezil,A. Oxlade-Chamberlain,H.Bellerin,G. Xhaka,D. Welbeck,A. Lacazette,O. Giroud,D. Ospina,T.Walcott,S. Mustafi,S. Kolasinac,F.Coquelin","30859,46539,626667,38521,50047,75489,36378,196386,427438,207236,113836,169193,46469,50065,31013,184999,304345,159594",,,ARS,Arsenal,0,9825,"[{'id_team': 8650, 'id_jugador': 114268, 'min': 20, 'tarjeta': 'y'}, {'id_team': 9825, 'id_jugador': 113836, 'min': 22, 'tarjeta': 'y'}, {'id_team': 8650, 'id_jugador': 568571, 'min': 23, 'tarjeta': 'y'}, {'id_team': 9825, 'id_jugador': 207236, 'min': 40, 'tarjeta': 'y'}, {'id_team': 9825, 'id_jugador': 36378, 'min': 49, 'tarjeta': 'y'}, {'id_team': 9825, 'id_jugador': 626667, 'min': 73, 'tarjeta': 'y'}]",corner,England,cross,2017-08-27 16:00,foulcommit,"[{'id_team': 8650, 'min': 17, 'comment': 'n', 'id_player': 242709, 'type_goal': 'n'}, {'id_team': 8650, 'min': 40, 'comment': 'n', 'id_player': 303339, 'type_goal': 'n'}, {'id_team': 8650, 'min': 57, 'comment': 'n', 'id_player': 292462, 'type_goal': 'n'}, {'id_team': 8650, 'min': 77, 'comment': 'n', 'id_player': 51553, 'type_goal': 'n'}]","L.Karius,D. Lovren,J.Gomez,A. Moreno,J. Matip,G. Wijnaldum,J. Henderson,E.Can,R.Firmino,M.Salah,S.Mane,J. Milner,D. Sturridge,M.Grujic,R.Klavan,D.Solanke,D.Ward,T.Alexander-Arnold","287894,114268,568571,314605,171698,108038,156008,307021,242709,292462,303339,38807,51553,463284,26660,591734,254472,760712",,,LIV,Liverpool,4,8650,England Premier League,2522767,"[{'home_pos_prom': 52.1, 'away_pos_prom': 47.9}]",2017/2018,shotoff,"[{'id_team': 8650, 'id_jugador': 292462, 'min': 10, 'tipo_disparo': 'big chance shot'}, {'id_team': 8650, 'id_jugador': 314605, 'min': 16, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8650, 'id_jugador': 292462, 'min': 25, 'tipo_disparo': 'shot'}, {'id_team': 8650, 'id_jugador': 108038, 'min': 34, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8650, 'id_jugador': 242709, 'min': 35, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9825, 'id_jugador': 626667, 'min': 42, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9825, 'id_jugador': 50047, 'min': 49, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8650, 'id_jugador': 292462, 'min': 55, 'tipo_disparo': 'big chance shot'}, {'id_team': 8650, 'id_jugador': 307021, 'min': 61, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8650, 'id_jugador': 303339, 'min': 70, 'tipo_disparo': 'big chance shot'}, {'id_team': 8650, 'id_jugador': 51553, 'min': 87, 'tipo_disparo': 'distance'}, {'id_team': 8650, 'id_jugador': 292462, 'min': 90, 'tipo_disparo': 'shot'}]",3
"L.Fabianski,M.van der Hoorn,A.Mawson,F. Fernandez,L. Fer,T.Carroll,M.Olsson,S.Clucas,K.Naughton,T.Abraham,J. Ayew,L.Narsingh,K.Nordfeldt,W.Routledge,A.Rangel,R.Mesa,J.Fulton,O.McBurnie","30973,264860,511987,155050,109638,212702,25667,179028,111800,749661,154280,158581,73462,38831,89185,292262,259809,509151",,,SWA,Swansea,2,10003,"[{'id_team': 9826, 'id_jugador': 148315, 'min': 10, 'tarjeta': 'y'}, {'id_team': 9826, 'id_jugador': 146830, 'min': 77, 'tarjeta': 'y'}, {'id_team': 9826, 'id_jugador': 26160, 'min': 79, 'tarjeta': 'y'}, {'id_team': 10003, 'id_jugador': 109638, 'min': 80, 'tarjeta': 'y'}, {'id_team': 9826, 'id_jugador': 35345, 'min': 90, 'tarjeta': 'y'}]",corner,England,cross,2017-08-26 15:00,foulcommit,"[{'id_team': 10003, 'min': 44, 'comment': 'n', 'id_player': 749661, 'type_goal': 'n'}, {'id_team': 10003, 'min': 48, 'comment': 'n', 'id_player': 154280, 'type_goal': 'n'}]","W.Hennessey,J.Tomkins,S.Dann,T.Fosu-Mensah,J.Ward,P. van Aanholt,L.Milivojevic,A. Townsend,J.McArthur,J.Puncheon,C. Benteke,J.Speroni,Y. Cabaye,C. Lee,J. Schlupp,J.Eyenga-Lokilo,K.Anderson,M.Kelly","36283,109897,23837,639058,146830,180330,163616,166422,28901,35345,148315,22998,26160,130670,214570,684149,614176,154271",,,CRY,Crystal Palace,0,9826,England Premier League,2522765,"[{'home_pos_prom': 41.25, 'away_pos_prom': 58.75}]",2017/2018,shotoff,"[{'id_team': 10003, 'id_jugador': 109638, 'min': 8, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10003, 'id_jugador': 749661, 'min': 37, 'tipo_disparo': 'shot'}, {'id_team': 9826, 'id_jugador': 154271, 'min': 47, 'tipo_disparo': 'header'}, {'id_team': 9826, 'id_jugador': 166422, 'min': 64, 'tipo_disparo': 'distance'}, {'id_team': 10003, 'id_jugador': 264860, 'min': 65, 'tipo_disparo': 'header'}, {'id_team': 9826, 'id_jugador': 28901, 'min': 72, 'tipo_disparo': 'shot'}, {'id_team': 9826, 'id_jugador': 23837, 'min': 76, 'tipo_disparo': 'blocked_shot'}]",3
"J.Butland,K.Zouma,B. Martins Indi,R.Shawcross,E.Pieters,J.Allen,Jese Rodriguez,G. Cameron,X. Shaqiri,D.Fletcher,E. M. Choupo-Moting,G. Johnson,S.Berahino,C.Adam,P.Crouch,B.Krkic,R.Sobhi,L.Grant","288880,281207,212511,40695,37194,47558,281085,119541,176300,24148,95082,34036,239807,39109,30830,96643,612489,25669",,,STK,Stoke,1,10194,"[{'id_team': 10194, 'id_jugador': 37194, 'min': 33, 'tarjeta': 'y'}, {'id_team': 8659, 'id_jugador': 109491, 'min': 52, 'tarjeta': 'y'}, {'id_team': 8659, 'id_jugador': 51545, 'min': 84, 'tarjeta': 'y'}, {'id_team': 10194, 'id_jugador': 47558, 'min': 88, 'tarjeta': 'y'}]",corner,England,cross,2017-08-27 13:30,foulcommit,"[{'id_team': 8659, 'min': 61, 'comment': 'n', 'id_player': 109491, 'type_goal': 'n'}, {'id_team': 10194, 'min': 77, 'comment': 'n', 'id_player': 30830, 'type_goal': 'n'}]","B. Foster,A. Nyom,C.Brunt,C.Dawson,A.Hegazy,J.Morrison,J.Livermore,M.Phillips,G.Barry,J. Rodriguez,J.Rondon,C.Yacob,B.Myhill,J.McClean,O.Burke,N. Chadli,S.Field,K.Wilson","24147,213809,23257,169162,297556,24171,115681,127133,23782,109491,51545,113968,23021,175947,609504,110189,748456,767015",,,WBA,West Bromwich Albion,1,8659,England Premier League,2522772,"[{'home_pos_prom': 38.55, 'away_pos_prom': 61.45}]",2017/2018,shotoff,"[{'id_team': 8659, 'id_jugador': 51545, 'min': 8, 'tipo_disparo': 'distance'}, {'id_team': 10194, 'id_jugador': 281207, 'min': 24, 'tipo_disparo': 'deflected'}, {'id_team': 10194, 'id_jugador': 281085, 'min': 41, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10194, 'id_jugador': 281207, 'min': 63, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8659, 'id_jugador': 297556, 'min': 66, 'tipo_disparo': 'header'}, {'id_team': 10194, 'id_jugador': 95082, 'min': 68, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10194, 'id_jugador': 176300, 'min': 77, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10194, 'id_jugador': 47558, 'min': 83, 'tipo_disparo': 'shot'}, {'id_team': 8659, 'id_jugador': 175947, 'min': 89, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10194, 'id_jugador': 24148, 'min': 90, 'tipo_disparo': 'blocked_shot'}]",3
"F. Forster,C.Soares,M. Yoshida,J.Stephens,R.Bertrand,S.Davis,D.Tadic,O.Romeu,M.Lemina,N.Redmond,M.Gabbiadini,W.Hoedt,S.Long,C.Austin,A.McCarthy,J.Ward-Prowse,S.Boufal,S.McQueen","95336,160627,72665,215387,46010,23792,94267,212470,421786,201664,172899,465628,23293,187266,119079,279490,365672,522108",,,SOU,Southampton,0,8466,"[{'id_team': 8466, 'id_jugador': 212470, 'min': 45, 'tarjeta': 'y'}]",corner,England,cross,2017-08-26 15:00,foulcommit,,"J.Loessl,T.Smith,C.Loewe,M.Joergensen,C.Schindler,P.Billing,E.Kachunga,A.Mooy,R.van La Parra,T.Ince,S.Mounie,S.Malone,J.Coleman,J.Lolley,D. Williams,C.Quaner,M.Hefele,K.Palmer","120598,480782,265363,71908,212890,532743,215804,231592,143945,212714,478527,171084,478367,471149,193176,212905,276763,740171",,,HUD,Huddersfield,0,9796,England Premier League,2522766,"[{'home_pos_prom': 58.388888888888886, 'away_pos_prom': 41.611111111111114}]",2017/2018,shotoff,"[{'id_team': 9796, 'id_jugador': 143945, 'min': 3, 'tipo_disparo': 'deflected'}, {'id_team': 9796, 'id_jugador': 71908, 'min': 14, 'tipo_disparo': 'header'}, {'id_team': 9796, 'id_jugador': 215804, 'min': 19, 'tipo_disparo': 'big chance blocked'}, {'id_team': 9796, 'id_jugador': 143945, 'min': 23, 'tipo_disparo': 'big chance blocked'}, {'id_team': 9796, 'id_jugador': 478527, 'min': 35, 'tipo_disparo': 'header'}, {'id_team': 9796, 'id_jugador': 215804, 'min': 41, 'tipo_disparo': 'big chance shot'}, {'id_team': 8466, 'id_jugador': 172899, 'min': 51, 'tipo_disparo': 'big chance shot'}, {'id_team': 9796, 'id_jugador': 212714, 'min': 69, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9796, 'id_jugador': 231592, 'min': 69, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9796, 'id_jugador': 212714, 'min': 75, 'tipo_disparo': 'distance'}, {'id_team': 9796, 'id_jugador': 740171, 'min': 76, 'tipo_disparo': 'deflected'}, {'id_team': 8466, 'id_jugador': 201664, 'min': 85, 'tipo_disparo': 'big chance shot'}, {'id_team': 8466, 'id_jugador': 46010, 'min': 90, 'tipo_disparo': 'big chance header'}]",3
"Ederson Moraes,Danilo,V. Kompany,B.Mendy,N. Otamendi,K. de Bruyne,D. Silva,Fernandinho,R. Sterling,B.Silva,G.Jesus,C. Bravo,J. Stones,S. Aguero,E. Mangala,F.Delph,L.Sane,Y. Toure","363364,208077,39027,280965,174321,169200,37459,40196,246575,488139,576165,37421,263653,37412,156551,78324,530859,36615",,,MCI,Manchester City,2,8456,"[{'id_team': 8678, 'id_jugador': 417068, 'min': 23, 'tarjeta': 'y'}, {'id_team': 8456, 'id_jugador': 39027, 'min': 56, 'tarjeta': 'y'}, {'id_team': 8456, 'id_jugador': 37459, 'min': 56, 'tarjeta': 'y'}, {'id_team': 8456, 'id_jugador': 174321, 'min': 67, 'tarjeta': 'y'}, {'id_team': 8678, 'id_jugador': 156013, 'min': 74, 'tarjeta': 'y'}, {'id_team': 8456, 'id_jugador': 280965, 'min': 79, 'tarjeta': 'y'}, {'id_team': 8678, 'id_jugador': 419664, 'min': 85, 'tarjeta': 'y'}, {'id_team': 8456, 'id_jugador': 246575, 'min': 90, 'tarjeta': 'y'}, {'id_team': 8678, 'id_jugador': 160447, 'min': 90, 'tarjeta': 'y'}, {'id_team': 8456, 'id_jugador': 246575, 'min': 90, 'tarjeta': 'y2'}, {'id_team': 8678, 'id_jugador': 155129, 'min': 90, 'tarjeta': 'y'}]",corner,England,cross,2017-08-26 12:30,foulcommit,"[{'id_team': 8678, 'min': 13, 'comment': 'n', 'id_player': 68237, 'type_goal': 'n'}, {'id_team': 8456, 'min': 21, 'comment': 'n', 'id_player': 576165, 'type_goal': 'n'}, {'id_team': 8456, 'min': 90, 'comment': 'n', 'id_player': 246575, 'type_goal': 'n'}]","A. Begovic,S.Cook,N.Ake,C.Daniels,A.Smith,T.Mings,D.Gosling,A.Surman,H.Arter,J.King,J. Defoe,A.Boruc,B.Afobe,B.Smith,L.Cook,R.Fraser,L.Mousset,J.Ibe","46518,156013,417068,68237,160447,419664,46810,23629,155129,185236,30348,30974,232253,515338,562724,230916,518371,280653",,,BOU,Bournemouth,1,8678,England Premier League,2522763,"[{'home_pos_prom': 37.80952380952381, 'away_pos_prom': 62.19047619047619}]",2017/2018,shotoff,"[{'id_team': 8678, 'id_jugador': 185236, 'min': 5, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8678, 'id_jugador': 23629, 'min': 13, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8678, 'id_jugador': 30348, 'min': 19, 'tipo_disparo': 'volley'}, {'id_team': 8456, 'id_jugador': 246575, 'min': 21, 'tipo_disparo': 'distance'}, {'id_team': 8456, 'id_jugador': 208077, 'min': 25, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8456, 'id_jugador': 208077, 'min': 28, 'tipo_disparo': 'shot'}, {'id_team': 8456, 'id_jugador': 488139, 'min': 32, 'tipo_disparo': 'shot'}, {'id_team': 8456, 'id_jugador': 40196, 'min': 44, 'tipo_disparo': 'shot'}, {'id_team': 8456, 'id_jugador': 246575, 'min': 56, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8456, 'id_jugador': 40196, 'min': 71, 'tipo_disparo': 'distance'}, {'id_team': 8456, 'id_jugador': 37412, 'min': 72, 'tipo_disparo': 'shot'}, {'id_team': 8678, 'id_jugador': 185236, 'min': 90, 'tipo_disparo': 'distance'}]",3
"J. Hart,A.Cresswell,P. Zabaleta,J.Collins,A.Ogbonna,M.Noble,A. Ayew,M.Antonio,E.Fernandes,D.Rice,J. Hernandez,J.Fonte,C.Kouyate,M.Lanzini,Adrian,P.Obiang,D.Sakho,A.Masuaku","31432,155782,30509,24751,49543,37169,95955,158545,451335,654096,70409,26552,148302,210276,169756,163919,192899,418137",,,WHU,West Ham,0,8654,"[{'id_team': 8654, 'id_jugador': 70409, 'min': 17, 'tarjeta': 'y'}, {'id_team': 8654, 'id_jugador': 451335, 'min': 65, 'tarjeta': 'y'}, {'id_team': 8654, 'id_jugador': 192899, 'min': 78, 'tarjeta': 'y'}, {'id_team': 10261, 'id_jugador': 574645, 'min': 83, 'tarjeta': 'y'}]",corner,England,cross,2017-08-26 15:00,foulcommit,"[{'id_team': 10261, 'min': 36, 'comment': 'n', 'id_player': 172321, 'type_goal': 'n'}, {'id_team': 10261, 'min': 72, 'comment': 'n', 'id_player': 161414, 'type_goal': 'n'}, {'id_team': 10261, 'min': 86, 'comment': 'n', 'id_player': 351860, 'type_goal': 'n'}]","R.Elliot,C.Clark,J.Lascelles,C.Mbemba,J.Manquillo,M.Ritchie,I.Hayden,A.Perez,M.Merino,C. Atsu,Joselu,J.Murphy,M.Diame,R.Aarons,H.Saivet,J.Gamez,F.Woodman,A.Mitrovic","23979,161414,279489,277761,299984,155913,489627,479020,574645,242887,172321,521148,40015,570431,94010,33843,582276,351860",,,NEW,Newcastle United,3,10261,England Premier League,2522769,"[{'home_pos_prom': 42.1, 'away_pos_prom': 57.9}]",2017/2018,shotoff,"[{'id_team': 8654, 'id_jugador': 49543, 'min': 11, 'tipo_disparo': 'blocked_header'}, {'id_team': 8654, 'id_jugador': 49543, 'min': 39, 'tipo_disparo': 'header'}, {'id_team': 10261, 'id_jugador': 242887, 'min': 39, 'tipo_disparo': 'shot'}, {'id_team': 10261, 'id_jugador': 479020, 'min': 43, 'tipo_disparo': 'shot'}, {'id_team': 10261, 'id_jugador': 242887, 'min': 45, 'tipo_disparo': 'distance'}, {'id_team': 10261, 'id_jugador': 155913, 'min': 45, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10261, 'id_jugador': 479020, 'min': 47, 'tipo_disparo': 'shot'}, {'id_team': 8654, 'id_jugador': 155782, 'min': 53, 'tipo_disparo': 'distance'}, {'id_team': 8654, 'id_jugador': 70409, 'min': 53, 'tipo_disparo': 'big chance shot'}, {'id_team': 10261, 'id_jugador': 155913, 'min': 63, 'tipo_disparo': 'shot'}, {'id_team': 8654, 'id_jugador': 70409, 'min': 65, 'tipo_disparo': 'header'}, {'id_team': 10261, 'id_jugador': 351860, 'min': 86, 'tipo_disparo': 'big chance shot'}]",3
"K.Schmeichel,D.Simpson,W.Morgan,H.Maguire,C.Fuchs,M.Albrighton,S. Okazaki,M.James,O.Ndidi,R. Mahrez,J.Vardy,B.Chilwell,D.Gray,K.Iheanacho,A.King,B.Hamer,D.Amartey,I. Slimani","37770,49571,23571,255610,43061,139671,20694,173408,533228,278343,286119,672469,492586,643709,103419,45571,436036,291219",,,LEI,Leicester,0,8197,"[{'id_team': 10260, 'id_jugador': 73167, 'min': 54, 'tarjeta': 'y'}, {'id_team': 8197, 'id_jugador': 173408, 'min': 89, 'tarjeta': 'y'}, {'id_team': 8197, 'id_jugador': 37770, 'min': 90, 'tarjeta': 'y'}]",corner,England,cross,2017-08-26 17:30,foulcommit,"[{'id_team': 10260, 'min': 53, 'comment': 'npm', 'id_player': 181276, 'type_goal': 'npm'}, {'id_team': 10260, 'min': 70, 'comment': 'n', 'id_player': 696365, 'type_goal': 'n'}, {'id_team': 10260, 'min': 82, 'comment': 'n', 'id_player': 39618, 'type_goal': 'n'}]","D. De Gea,E.Bailly,P. Jones,D. Blind,A. Valencia,P. Pogba,J. Mata,A.Martial,H.Mkhitaryan,N.Matic,R. Lukaku,C. Smalling,J.Lingard,M.Rashford,S. Romero,A.Herrera,M. Fellaini,M. Darmian","182917,574200,186137,161012,35327,248453,41468,413557,73167,115067,181276,165823,299215,696365,109060,164676,39618,46820",,,MUN,Manchester United,2,10260,England Premier League,2522768,"[{'home_pos_prom': 65.25, 'away_pos_prom': 34.75}]",2017/2018,shotoff,"[{'id_team': 10260, 'id_jugador': 73167, 'min': 1, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10260, 'id_jugador': 73167, 'min': 13, 'tipo_disparo': 'deflected'}, {'id_team': 10260, 'id_jugador': 181276, 'min': 18, 'tipo_disparo': 'shot'}, {'id_team': 10260, 'id_jugador': 41468, 'min': 20, 'tipo_disparo': 'big chance shot'}, {'id_team': 8197, 'id_jugador': 20694, 'min': 23, 'tipo_disparo': 'shot'}, {'id_team': 10260, 'id_jugador': 413557, 'min': 30, 'tipo_disparo': 'shot'}, {'id_team': 10260, 'id_jugador': 248453, 'min': 35, 'tipo_disparo': 'shot'}, {'id_team': 10260, 'id_jugador': 248453, 'min': 37, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10260, 'id_jugador': 35327, 'min': 43, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10260, 'id_jugador': 413557, 'min': 47, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8197, 'id_jugador': 278343, 'min': 57, 'tipo_disparo': 'shot'}, {'id_team': 8197, 'id_jugador': 278343, 'min': 64, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10260, 'id_jugador': 181276, 'min': 72, 'tipo_disparo': 'deflected'}, {'id_team': 8197, 'id_jugador': 492586, 'min': 73, 'tipo_disparo': 'shot'}, {'id_team': 10260, 'id_jugador': 299215, 'min': 82, 'tipo_disparo': 'deflected'}, {'id_team': 8197, 'id_jugador': 103419, 'min': 90, 'tipo_disparo': 'big chance shot'}]",3
"M. Ryan,B.Saltor,L.Dunk,S.Duffy,M.Suttner,D.Stephens,A.Knockaert,P.Gross,S.March,D.Proepper,T.Hemed,U.Huenemeier,J.Skalak,N.Maeenpaeae,S.Sidwell,J.Murphy,J.Izquierdo,L.Rosenior","185644,74403,201690,174325,45254,62336,202562,167008,416850,178765,45204,35708,212157,45836,23283,72464,207511,24105",,,BHA,Brighton,0,10204,"[{'id_team': 10204, 'id_jugador': 74403, 'min': 17, 'tarjeta': 'y'}, {'id_team': 9817, 'id_jugador': 114769, 'min': 24, 'tarjeta': 'r'}]",corner,England,cross,2017-08-26 15:00,foulcommit,,"H.Gomes,M.Britos,S.Proedl,Kiko,C.Kabasele,T. Cleverley,N.Chalobah,A.Doucoure,N.Amrabat,Richarlison,A.Gray,T.Deeney,I.Success,C.Cathcart,B.Watson,A.Carrillo,E.Capoue,C.Pantilimon","30455,114769,41927,175311,149219,160713,215658,352887,46120,654908,180259,72436,534484,40548,22991,246414,41365,103428",,,WAT,Watford,0,9817,England Premier League,2522771,"[{'home_pos_prom': 49.95, 'away_pos_prom': 50.05}]",2017/2018,shotoff,"[{'id_team': 9817, 'id_jugador': 215658, 'min': 9, 'tipo_disparo': 'header'}, {'id_team': 10204, 'id_jugador': 62336, 'min': 16, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10204, 'id_jugador': 178765, 'min': 19, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10204, 'id_jugador': 202562, 'min': 23, 'tipo_disparo': 'shot'}, {'id_team': 9817, 'id_jugador': 654908, 'min': 33, 'tipo_disparo': 'blocked_shot'}, {'id_team': 9817, 'id_jugador': 654908, 'min': 74, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10204, 'id_jugador': 202562, 'min': 74, 'tipo_disparo': 'distance'}, {'id_team': 10204, 'id_jugador': 62336, 'min': 79, 'tipo_disparo': 'blocked_shot'}, {'id_team': 10204, 'id_jugador': 45254, 'min': 90, 'tipo_disparo': 'blocked_shot'}]",3
"S. Mignolet,D. Lovren,A. Moreno,J. Matip,T.Alexander-Arnold,G. Wijnaldum,J. Henderson,E.Can,R.Firmino,M.Salah,S.Mane,L.Karius,J. Milner,J.Gomez,M.Grujic,R.Klavan,D. Origi,D.Solanke","37868,114268,314605,171698,760712,108038,156008,307021,242709,292462,303339,287894,38807,568571,463284,26660,426202,591734",,,LIV,Liverpool,3,8650,"[{'id_team': 8650, 'id_jugador': 303339, 'min': 37, 'tarjeta': 'y'}, {'id_team': 8650, 'id_jugador': 760712, 'min': 61, 'tarjeta': 'y'}, {'id_team': 8650, 'id_jugador': 37868, 'min': 88, 'tarjeta': 'y'}]",corner,England,cross,2017-08-12 12:30,foulcommit,"[{'id_team': 9817, 'min': 8, 'comment': 'n', 'id_player': 27696, 'type_goal': 'n'}, {'id_team': 8650, 'min': 29, 'comment': 'n', 'id_player': 303339, 'type_goal': 'n'}, {'id_team': 9817, 'min': 32, 'comment': 'n', 'id_player': 352887, 'type_goal': 'n'}, {'id_team': 8650, 'min': 55, 'comment': 'p', 'id_player': 242709, 'type_goal': 'p'}, {'id_team': 8650, 'min': 57, 'comment': 'n', 'id_player': 292462, 'type_goal': 'n'}, {'id_team': 9817, 'min': 90, 'comment': 'n', 'id_player': 114769, 'type_goal': 'n'}]","H.Gomes,D. Janmaat,M.Britos,Y.Kaboul,J. Cholevas,N.Amrabat,T. Cleverley,N.Chalobah,A.Doucoure,R.Pereyra,S.Okaka Chuka,S.Proedl,Richarlison,A.Gray,Kiko,B.Watson,E.Capoue,C.Pantilimon","30455,104482,114769,26108,35712,46120,160713,215658,352887,210278,27696,41927,654908,180259,175311,22991,41365,103428",,,WAT,Watford,3,9817,England Premier League,2522751,"[{'home_pos_prom': 43.42857142857143, 'away_pos_prom': 56.57142857142857}]",2017/2018,shotoff,"[{'id_team': 9817, 'id_jugador': 210278, 'min': 7, 'tipo_disparo': 'deflected'}, {'id_team': 8650, 'id_jugador': 242709, 'min': 57, 'tipo_disparo': 'lob'}, {'id_team': 8650, 'id_jugador': 314605, 'min': 64, 'tipo_disparo': 'distance'}, {'id_team': 8650, 'id_jugador': 114268, 'min': 70, 'tipo_disparo': 'header'}, {'id_team': 9817, 'id_jugador': 114769, 'min': 90, 'tipo_disparo': 'distance'}]",1
"J.Pickford,M.Keane,A.Williams,P. Jagielka,L. Baines,W. Rooney,I.Gueye,G.Sigurdsson,T.Davies,M.Holgate,S.Ramirez,A.Lennon,C.Martina,M. Besic,M.Stekelenburg,D.Calvert-Lewin,A.Lookman,J.Kenny","303919,290410,24948,23268,24846,30829,179410,157729,742405,603329,477615,30895,149855,212866,30841,612150,690516,605252",,,EVE,Everton,0,8668,"[{'id_team': 8668, 'id_jugador': 179410, 'min': 9, 'tarjeta': 'y'}, {'id_team': 8668, 'id_jugador': 30829, 'min': 71, 'tarjeta': 'y'}, {'id_team': 8455, 'id_jugador': 106228, 'min': 76, 'tarjeta': 'y'}, {'id_team': 8455, 'id_jugador': 72541, 'min': 88, 'tarjeta': 'y'}]",corner,England,cross,2017-08-27 13:30,foulcommit,"[{'id_team': 8455, 'min': 27, 'comment': 'n', 'id_player': 30613, 'type_goal': 'n'}, {'id_team': 8455, 'min': 40, 'comment': 'n', 'id_player': 213501, 'type_goal': 'n'}]","T. Courtois,A. Ruediger,C. Azpilicueta,D. Luiz,M.Alonso,C. Fabregas,N.Kante,P. Rodriguez,V. Moses,Willian,A.Morata,W.Caballero,T.Bakayoko,Kenedy,C.Musonda,M. Batshuayi,A.Christensen,F.Tomori","170323,276738,72541,52133,196169,30613,319300,150250,106228,94086,213501,28955,478393,467354,722766,248689,449232,749662",,,CHE,Chelsea,2,8455,England Premier League,2522764,"[{'home_pos_prom': 54.6, 'away_pos_prom': 45.4}]",2017/2018,shotoff,"[{'id_team': 8455, 'id_jugador': 213501, 'min': 3, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8455, 'id_jugador': 94086, 'min': 13, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8455, 'id_jugador': 52133, 'min': 13, 'tipo_disparo': 'distance'}, {'id_team': 8455, 'id_jugador': 150250, 'min': 14, 'tipo_disparo': 'distance'}, {'id_team': 8455, 'id_jugador': 30613, 'min': 42, 'tipo_disparo': 'distance'}, {'id_team': 8668, 'id_jugador': 477615, 'min': 50, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8455, 'id_jugador': 106228, 'min': 61, 'tipo_disparo': 'big chance shot'}, {'id_team': 8455, 'id_jugador': 72541, 'min': 69, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8455, 'id_jugador': 478393, 'min': 80, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8455, 'id_jugador': 248689, 'min': 86, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8668, 'id_jugador': 30895, 'min': 87, 'tipo_disparo': 'blocked_shot'}, {'id_team': 8455, 'id_jugador': 94086, 'min': 90, 'tipo_disparo': 'shot'}]",3
