awayPlayers,awayPlayersId,awayPlayersX,awayPlayersY,awayTeamAcronym,awayTeamFullName,awayTeamGoal,awayTeamId,card,corner,country,cross,date,foulcommit,goal,homePlayers,homePlayersId,homePlayersX,homePlayersY,homeTeamAcronym,homeTeamFullName,homeTeamGoal,homeTeamId,league,matchId,possession,season,shotoff,shoton,stage
,,,,ATL,no_hay_datos,0,,,,Mexico,,2005-07-31 01:00,,,,,,,DOR,no_hay_datos,0,,Mexico Liga MX,217631,,2005/2006,,,1
,,,,CDG,no_hay_datos,0,,,,Mexico,,2005-11-26 21:00,,,,,,,TOL,no_hay_datos,0,,Mexico Liga MX,226438,,2005/2006,,,17
,,,,ATL,no_hay_datos,0,,,,Mexico,,2005-11-20 22:00,,,,,,,CFA,no_hay_datos,0,,Mexico Liga MX,226235,,2005/2006,,,16
,,,,MOR,Monarcas Morelia,1,6575,,,Mexico,,2005-07-30 23:00,,,,,,,CRU,Cruz Azul,2,6578,Mexico Liga MX,217626,,2005/2006,,,1
,,,,JAG,no_hay_datos,0,,,,Mexico,,2005-07-31 01:00,,,,,,,CDG,no_hay_datos,0,,Mexico Liga MX,217629,,2005/2006,,,1
,,,,DOR,no_hay_datos,0,,,,Mexico,,2005-11-26 21:00,,,,,,,PUM,no_hay_datos,0,,Mexico Liga MX,226341,,2005/2006,,,17
,,,,PAC,no_hay_datos,0,,,,Mexico,,2005-07-30 23:00,,,,,,,MON,no_hay_datos,0,,Mexico Liga MX,217627,,2005/2006,,,1
,,,,MDZ,no_hay_datos,0,,,,Mexico,,2005-07-31 18:00,,,,,,,SAN,no_hay_datos,0,,Mexico Liga MX,217663,,2005/2006,,,1
,,,,CDG,no_hay_datos,0,,,,Mexico,,2005-09-25 18:00,,,,,,,SAN,no_hay_datos,0,,Mexico Liga MX,222886,,2005/2006,,,9
,,,,TIG,no_hay_datos,0,,,,Mexico,,2005-07-31 22:00,,,,,,,CFA,no_hay_datos,0,,Mexico Liga MX,217675,,2005/2006,,,1
,,,,TOL,no_hay_datos,0,,,,Mexico,,2005-07-31 02:30,,,,,,,NEC,no_hay_datos,0,,Mexico Liga MX,217632,,2005/2006,,,1
,,,,ATL,no_hay_datos,0,,,,Mexico,,2005-07-31 01:00,,,,,,,VER,no_hay_datos,0,,Mexico Liga MX,217630,,2005/2006,,,1
,,,,MDZ,no_hay_datos,0,,,,Mexico,,2005-11-20 01:00,,,,,,,CDG,no_hay_datos,0,,Mexico Liga MX,226234,,2005/2006,,,16
,,,,CFA,no_hay_datos,0,,,,Mexico,,2005-11-26 21:00,,,,,,,MON,no_hay_datos,0,,Mexico Liga MX,226436,,2005/2006,,,17
,,,,PUM,no_hay_datos,0,,,,Mexico,,2005-11-20 01:00,,,,,,,TIG,no_hay_datos,0,,Mexico Liga MX,226119,,2005/2006,,,16
,,,,MON,no_hay_datos,0,,,,Mexico,,2005-11-19 23:00,,,,,,,CRU,no_hay_datos,0,,Mexico Liga MX,226116,,2005/2006,,,16
,,,,SAN,no_hay_datos,0,,,,Mexico,,2005-11-06 22:00,,,,,,,PAC,no_hay_datos,0,,Mexico Liga MX,225646,,2005/2006,,,15
,,,,PUM,no_hay_datos,0,,,,Mexico,,2005-07-31 22:00,,,,,,,SAN,no_hay_datos,0,,Mexico Liga MX,217674,,2005/2006,,,1
,,,,CRU,no_hay_datos,0,,,,Mexico,,2005-11-06 23:00,,,,,,,CFA,no_hay_datos,0,,Mexico Liga MX,225648,,2005/2006,,,15
,,,,PAC,no_hay_datos,0,,,,Mexico,,2005-11-20 01:00,,,,,,,VER,no_hay_datos,0,,Mexico Liga MX,226118,,2005/2006,,,16
,,,,SAN,no_hay_datos,0,,,,Mexico,,2005-11-26 21:00,,,,,,,JAG,no_hay_datos,0,,Mexico Liga MX,226327,,2005/2006,,,17
,,,,MON,Monterrey,2,7849,,,Mexico,,2005-08-07 01:00,,,,,,,MOR,Monarcas Morelia,2,6575,Mexico Liga MX,218096,,2005/2006,,,2
,,,,TIG,Tigres,2,8561,,,Mexico,,2005-10-02 01:00,,,,,,,MOR,Monarcas Morelia,0,6575,Mexico Liga MX,223340,,2005/2006,,,11
,,,,JAG,no_hay_datos,0,,,,Mexico,,2005-11-20 01:00,,,,,,,DOR,no_hay_datos,0,,Mexico Liga MX,226117,,2005/2006,,,16
,,,,SAN,no_hay_datos,0,,,,Mexico,,2005-10-02 01:00,,,,,,,CFA,no_hay_datos,0,,Mexico Liga MX,223341,,2005/2006,,,11
,,,,TOL,no_hay_datos,0,,,,Mexico,,2005-11-20 22:00,,,,,,,SAN,no_hay_datos,0,,Mexico Liga MX,226236,,2005/2006,,,16
,,,,ATL,no_hay_datos,0,,,,Mexico,,2005-11-20 02:30,,,,,,,NEC,no_hay_datos,0,,Mexico Liga MX,226233,,2005/2006,,,16
,,,,MOR,Monarcas Morelia,1,6575,,,Mexico,,2005-11-20 18:00,,,,,,,SAN,Atletico de San Luis,2,6358,Mexico Liga MX,226189,,2005/2006,,,16
,,,,DOR,no_hay_datos,0,,,,Mexico,,2005-10-03 02:00,,,,,,,PAC,no_hay_datos,0,,Mexico Liga MX,223478,,2005/2006,,,11
